-------+----------------------------------+----------+-------
 sonar  | action_plans                     | table    | sonar
 sonar  | active_dashboards                | table    | sonar
 sonar  | active_rule_parameters           | table    | sonar
 sonar  | active_rules                     | table    | sonar
 sonar  | activities                       | table    | sonar
 sonar  | analysis_reports                 | table    | sonar
 sonar  | authors                          | table    | sonar
 sonar  | characteristics                  | table    | sonar
 sonar  | dashboards                       | table    | sonar
 sonar  | dependencies                     | table    | sonar
 sonar  | duplications_index               | table    | sonar
 sonar  | events                           | table    | sonar
 sonar  | file_sources                     | table    | sonar
 sonar  | graphs                           | table    | sonar
 sonar  | group_roles                      | table    | sonar
 sonar  | groups                           | table    | sonar
 sonar  | groups_users                     | table    | sonar
 sonar  | issue_changes                    | table    | sonar
 sonar  | issue_filter_favourites          | table    | sonar
 sonar  | issue_filters                    | table    | sonar
 sonar  | issues                           | table    | sonar
 sonar  | loaded_templates                 | table    | sonar
 sonar  | manual_measures                  | table    | sonar
 sonar  | measure_filter_favourites        | table    | sonar
 sonar  | measure_filters                  | table    | sonar
 sonar  | metrics                          | table    | sonar
 sonar  | notifications                    | table    | sonar
 sonar  | perm_templates_groups            | table    | sonar
 sonar  | perm_templates_users             | table    | sonar
 sonar  | permission_templates             | table    | sonar
 sonar  | project_links                    | table    | sonar
 sonar  | project_measures                 | table    | sonar
 sonar  | projects                         | table    | sonar
 sonar  | properties                       | table    | sonar
 sonar  | quality_gate_conditions          | table    | sonar
 sonar  | quality_gates                    | table    | sonar
 sonar  | resource_index                   | table    | sonar
 sonar  | rules                            | table    | sonar
 sonar  | rules_parameters                 | table    | sonar
 sonar  | rules_profiles                   | table    | sonar
 sonar  | schema_migrations                | table    | sonar
 sonar  | semaphores                       | table    | sonar
 sonar  | snapshot_data                    | table    | sonar
 sonar  | snapshots                        | table    | sonar
 sonar  | user_roles                       | table    | sonar
 sonar  | users                            | table    | sonar
 sonar  | widget_properties                | table    | sonar
 sonar  | widgets                          | table    | sonar
